Stage,Date & Time (US EDT/UTC-4),Date,Eastern Daylight Time,Date & Time (Vietnam),Column 1,Column 2,Team 1,Team 2,Match #,Location,Ours?,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Group L,"Saturday, June 27, at 5:00 PM",June 27,17:00,"Sunday, 28 June 2026 at 04:00:00",June 28,4:00,Croatia,Ghana,68,"Lincoln Financial Field, Philadelphia",,,,,,,,,,,,,,,,,,,
Group K,"Saturday, June 27, at 7:30 PM",June 27,19:30,"Sunday, 28 June 2026 at 06:30:00",June 28,6:30,Colombia,Portugal,71,"Hard Rock Stadium, Miami Gardens",,,,,,,,,,,,,,,,,,,
Group K,"Saturday, June 27, at 7:30 PM",June 27,19:30,"Sunday, 28 June 2026 at 06:30:00",June 28,6:30,DR Congo,Uzbekistan,72,"Mercedes-Benz Stadium, Atlanta",,,,,,,,,,,,,,,,,,,
Group J,"Saturday, June 27, at 10:00 PM",June 27,22:00,"Sunday, 28 June 2026 at 09:00:00",June 28,9:00,Algeria,Austria,69,"Arrowhead Stadium, Kansas City",,,,,,,,,,,,,,,,,,,
Group J,"Saturday, June 27, at 10:00 PM",June 27,22:00,"Sunday, 28 June 2026 at 09:00:00",June 28,9:00,Jordan,Argentina,70,"AT&T Stadium, Arlington",,,,,,,,,,,,,,,,,,,
Round of 32,"Sunday, June 28, at 3:00 PM",June 28,15:00,"Monday, 29 June 2026 at 02:00:00",June 29,2:00,2A,2B,73,"Sofi Stadium, Inglewood",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Monday, June 29, at 1:00 PM",June 29,13:00,"Tuesday, 30 June 2026 at 00:00:00",June 30,0:00,1C,2F,76,"NRG Stadium, Houston",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Monday, June 29, at 4:30 PM",June 29,16:30,"Tuesday, 30 June 2026 at 03:30:00",June 30,3:30,1E,3ABCDF,74,"Gillette Stadium, Foxborough",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Monday, June 29, at 9:00 PM",June 29,21:00,"Tuesday, 30 June 2026 at 08:00:00",June 30,8:00,1F,2C,75,"Estadio BBVA, Guadalupe",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Tuesday, June 30, at 2:00 PM",June 30,14:00,"Wednesday, 1 July 2026 at 00:00:00",July 1,1:00,2E,2I,78,"AT&T Stadium, Arlington",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Tuesday, June 30, at 5:00 PM",June 30,17:00,"Wednesday, 1 July 2026 at 04:00:00",July 1,4:00,1I,3CDFGH,77,"MetLife Stadium, East Rutherford",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Tuesday, June 30, at 9:00 PM",June 30,21:00,"Wednesday, 1 July 2026 at 08:00:00",July 1,8:00,1A,3CEFHI,79,"Estadio Azteca, Mexico City",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Wednesday, July 1, at 12:00 PM",July 1,12:00,"Wednesday, 1 July 2026 at 23:00:00",July 1,23:00,1L,3EHIJK,80,"Mercedes-Benz Stadium, Atlanta",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Wednesday, July 1, at 4:00 PM",July 1,16:00,"Thursday, 2 July 2026 at 03:00:00",July 2,3:00,1G,3AEHIJ,82,"Lumen Field, Seattle",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Wednesday, July 1, at 8:00 PM",July 1,20:00,"Thursday, 2 July 2026 at 07:00:00",July 2,7:00,1D,3BEFIJ,81,"Levi's Stadium, Santa Clara",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Thursday, July 2, at 3:00 PM",July 2,15:00,"Friday, 3 July 2026 at 02:00:00",July 3,2:00,1H,2J,84,"Sofi Stadium, Inglewood",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Thursday, July 2, at 7:00 PM",July 2,19:00,"Friday, 3 July 2026 at 06:00:00",July 3,6:00,2K,2L,83,"BMO Field, Toronto",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Thursday, July 2, at 11:00 PM",July 2,23:00,"Friday, 3 July 2026 at 10:00:00",July 3,10:00,1B,3EFGIJ,85,"BC Place, Vancouver",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Friday, July 3, at 2:00 PM",July 3,14:00,"Saturday, 4 July 2026 at 01:00:00",July 4,1:00,2D,2G,88,"AT&T Stadium, Arlington",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Friday, July 3, at 6:00 PM",July 3,18:00,"Saturday, 4 July 2026 at 05:00:00",July 4,5:00,1J,2H,86,"Hard Rock Stadium, Miami Gardens",Y,,,,,,,,,,,,,,,,,,
Round of 32,"Friday, July 3, at 9:30 PM",July 3,21:30,"Saturday, 4 July 2026 at 08:30:00",July 4,8:30,1K,3DEIJL,87,"Arrowhead Stadium, Kansas City",Y,,,,,,,,,,,,,,,,,,
Round of 16,"Saturday, July 4, at 1:00 PM",July 4,13:00,"Sunday, 5 July 2026 at 00:00:00",July 5,0:00,W73,W75,90,"NRG Stadium, Houston",Y,,,,,,,,,,,,,,,,,,
Round of 16,"Saturday, July 4, at 5:00 PM",July 4,17:00,"Sunday, 5 July 2026 at 04:00:00",July 5,4:00,W74,W77,89,"Lincoln Financial Field, Philadelphia",Y,,,,,,,,,,,,,,,,,,
Round of 16,"Sunday, July 5, at 4:00 PM",July 5,16:00,"Monday, 6 July 2026 at 03:00:00",July 6,3:00,W76,W78,91,"MetLife Stadium, East Rutherford",Y,,,,,,,,,,,,,,,,,,
Round of 16,"Sunday, July 5, at 8:00 PM",July 5,20:00,"Monday, 6 July 2026 at 07:00:00",July 6,7:00,W79,W80,92,"Estadio Azteca, Mexico City",Y,,,,,,,,,,,,,,,,,,
Round of 16,"Monday, July 6, at 3:00 PM",July 6,15:00,"Tuesday, 7 July 2026 at 02:00:00",July 7,2:00,W83,W84,93,"AT&T Stadium, Arlington",Y,,,,,,,,,,,,,,,,,,
Round of 16,"Monday, July 6, at 8:00 PM",July 6,20:00,"Tuesday, 7 July 2026 at 07:00:00",July 7,7:00,W81,W82,94,"Lumen Field, Seattle",Y,,,,,,,,,,,,,,,,,,
Round of 16,"Tuesday, July 7, at 12:00 PM",July 7,12:00,"Tuesday, 7 July 2026 at 23:00:00",July 7,23:00,W86,W88,95,"Mercedes-Benz Stadium, Atlanta",Y,,,,,,,,,,,,,,,,,,
Round of 16,"Tuesday, July 7, at 4:00 PM",July 7,16:00,"Wednesday, 8 July 2026 at 03:00:00",July 8,3:00,W85,W87,96,"BC Place, Vancouver",Y,,,,,,,,,,,,,,,,,,
Quarterfinals,"Thursday, July 9, at 4:00 PM",July 9,16:00,"Friday, 10 July 2026 at 03:00:00",July 10,3:00,W89,W90,97,"Gillette Stadium, Foxborough",Y,,,,,,,,,,,,,,,,,,
Quarterfinals,"Friday, July 10, at 3:00 PM",July 10,15:00,"Saturday, 11 July 2026 at 02:00:00",July 11,2:00,W93,W94,98,"Sofi Stadium, Inglewood",Y,,,,,,,,,,,,,,,,,,
Quarterfinals,"Saturday, July 11, at 5:00 PM",July 11,17:00,"Sunday, 12 July 2026 at 04:00:00",July 12,4:00,W91,W92,99,"Hard Rock Stadium, Miami Gardens",Y,,,,,,,,,,,,,,,,,,
Quarterfinals,"Saturday, July 11, at 9:00 PM",July 11,21:00,"Sunday, 12 July 2026 at 08:00:00",July 12,8:00,W95,W96,100,"Arrowhead Stadium, Kansas City",Y,,,,,,,,,,,,,,,,,,
Semifinals,"Tuesday, July 14, at 3:00 PM",July 14,15:00,"Wednesday, 15 July 2026 at 02:00:00",July 15,2:00,W97,W98,101,"AT&T Stadium, Arlington",Y,,,,,,,,,,,,,,,,,,
Semifinals,"Wednesday, July 15, at 3:00 PM",July 15,15:00,"Thursday, 16 July 2026 at 02:00:00",July 16,2:00,W99,W100,102,"Mercedes-Benz Stadium, Atlanta",Y,,,,,,,,,,,,,,,,,,
Third Place,"Saturday, July 18, at 5:00 PM",July 18,17:00,"Sunday, 19 July 2026 at 04:00:00",July 19,4:00,L101,L102,103,"Hard Rock Stadium, Miami Gardens",Y,,,,,,,,,,,,,,,,,,
Final,"Sunday, July 19, at 3:00 PM",July 19,15:00,"Monday, 20 July 2026 at 02:00:00",July 20,2:00,W101,W102,104,"MetLife Stadium, East Rutherford",Y,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,
